id,order_id,item_id,name,qty,subtotal
8dbb478f,b18f956a,I001,Chicken,1,15000
a1df65b9,b18f956a,I002,Drink,1,5000
6e22df92,b18f956a,I003,Rice,1,5000
10892065,c9e345b8,I004,French Fries,1,10000
dad99d7e,c9e345b8,I005,Nugget,1,12000
3ae60884,01768105,I001,Chicken,1,15000
67481f62,01768105,I003,Rice,1,5000
f3e87efb,01768105,I005,Nugget,1,12000
caf9595f,a08c04f7,I002,Drink,1,5000
e42bcd2f,a08c04f7,I003,Rice,1,5000
959ae177,da4567f3,I002,Drink,2,10000
ecea4dd7,05c494e2,I001,Chicken,1,15000
43f0e2e5,4e3365e5,I001,Chicken,2,30000
adaacadd,a3978218,I001,Chicken,2,30000
706c16b1,03045ca8,I003,Rice,1,5000
901a2c12,03045ca8,I005,Nugget,1,12000
bebee2cc,4478f299,I001,Chicken,1,15000
8745e44f,4e98fa91,I001,Chicken,10,150000
01ad0074,703244c6,I001,Chicken,10,150000
